suite,tensor_id,name,n,nnz,m,d,lower_bound,released_q,literature_q,best_reported_q,class,q_certified,cp_signature_ok,waring_signature_ok
standard25,0800,Adder_8,61,3268,27,52,105,117,,117,U,False,True,True
standard25,0801,Barenco Tof_3,8,4,2,6,13,13,,13,C0,True,True,True
standard25,0802,Barenco Tof_4,14,10,4,11,23,23,,23,C1,True,True,True
standard25,0803,Barenco Tof_5,20,18,6,16,33,33,,33,L,True,True,True
standard25,0804,Barenco Tof_10,50,63,16,41,83,83,,83,L,True,True,True
standard25,0805,CSLA MUX_3,21,38,8,19,39,39,,39,L,True,True,True
standard25,0806,CSUM MUX_9,42,86,14,35,71,71,,71,L,True,True,True
standard25,0807,Grover_5,77,6163,25,71,143,143,,143,L,True,True,True
standard25,0808,Ham15 (low),46,1008,17,35,71,73,,73,U,False,True,True
standard25,0809,Ham15 (med),71,635,33,64,129,137,135,135,U,False,True,True
standard25,0810,Ham15 (high),351,18777,155,287,575,643,631,631,U,False,True,True
standard25,0811,HWB_6,27,276,10,24,49,51,,51,U,False,True,True
standard25,0812,Mod 5_4,5,5,1,3,7,7,,7,C0,True,True,True
standard25,0813,Mod Adder_1024,332,129405,128,286,573,573,,573,L,True,True,True
standard25,0814,Mod Mult_55,12,9,3,8,17,17,,17,C1,True,True,True
standard25,0815,Mod Red_21,28,74,11,24,49,51,,51,U,False,True,True
standard25,0816,QCLA Adder_10,61,127,24,50,101,107,,107,U,False,True,True
standard25,0117,QCLA Com_7,42,1003,12,29,59,59,,59,L,True,True,True
standard25,0818,QCLA Mod_7,84,2144,37,72,145,153,,153,U,False,True,True
standard25,0819,RC Adder_6,24,21,6,18,37,37,,37,C0,True,True,True
standard25,0820,Tof_3,7,3,2,6,13,13,,13,C0,True,True,True
standard25,0821,Tof_4,11,8,3,9,19,19,,19,C0,True,True,True
standard25,0822,Tof_5,15,15,4,12,25,25,,25,C0,True,True,True
standard25,0823,Tof_10,35,60,9,27,55,55,,55,C0,True,True,True
standard25,0824,VBE Adder_3,14,40,3,9,19,19,,19,C0,True,True,True
extended35,0134,Cuccaro Adder n=3,8,6,2,6,13,13,,13,C0,True,True,True
extended35,0135,Cuccaro Adder n=4,12,21,3,9,19,19,,19,C0,True,True,True
extended35,0136,Cuccaro Adder n=5,16,55,4,12,25,25,,25,C0,True,True,True
extended35,0137,Cuccaro Adder n=6,20,130,5,15,31,31,,31,C0,True,True,True
extended35,0138,Cuccaro Adder n=7,24,134,6,18,37,37,,37,C0,True,True,True
extended35,0139,Cuccaro Adder n=8,28,242,7,21,43,43,,43,C0,True,True,True
extended35,0140,Cuccaro Adder n=9,32,394,8,24,49,49,,49,C0,True,True,True
extended35,0141,Cuccaro Adder n=10,36,422,9,27,55,55,,55,C0,True,True,True
extended35,0142,Basis Change p=4 o=3,27,530,8,20,41,41,,41,L,True,True,True
extended35,0143,Basis Change p=4 o=4,39,1965,12,30,61,61,,61,L,True,True,True
extended35,0144,Basis Change p=4 o=5,51,5170,16,40,81,81,,81,L,True,True,True
extended35,0145,Basis Change p=5 o=3,39,2129,12,30,61,61,,61,L,True,True,True
extended35,0146,Basis Change p=5 o=4,56,3767,18,45,91,91,,91,L,True,True,True
extended35,0147,Basis Change p=6 o=3,51,3899,16,40,81,85,,85,U,False,True,True
extended35,0148,Basis Change p=7 o=3,63,11098,20,50,101,105,,105,U,False,True,True
extended35,0149,Hamming Weight n=4,9,20,3,9,19,19,,19,C0,True,True,True
extended35,0150,Hamming Weight n=5,10,24,3,9,19,19,,19,C0,True,True,True
extended35,0151,Hamming Weight n=6,12,18,4,12,25,25,,25,C0,True,True,True
extended35,0152,Hamming Weight n=7,13,35,4,12,25,25,,25,C0,True,True,True
extended35,0153,Hamming Weight n=8,21,84,7,21,43,43,,43,C0,True,True,True
extended35,0154,Hamming Weight n=9,22,74,7,21,43,43,,43,C0,True,True,True
extended35,0155,Hamming Weight n=10,24,86,8,24,49,49,,49,C0,True,True,True
extended35,0156,Hamming Weight n=11,25,135,8,24,49,49,,49,C0,True,True,True
extended35,0157,Hamming Weight n=12,30,183,10,30,61,61,,61,C0,True,True,True
extended35,0158,Hamming Weight n=13,31,171,10,30,61,61,,61,C0,True,True,True
extended35,0159,Hamming Weight n=14,33,112,11,33,67,67,,67,C0,True,True,True
extended35,0160,Hamming Weight n=15,34,152,11,33,67,67,,67,C0,True,True,True
extended35,0161,Hamming Weight n=16,45,514,15,45,91,91,,91,C0,True,True,True
extended35,0162,Hamming Weight n=17,46,919,15,45,91,91,,91,C0,True,True,True
extended35,0163,Hamming Weight n=18,48,327,16,48,97,97,,97,C0,True,True,True
extended35,0164,Hamming Weight n=19,49,380,16,48,97,97,,97,C0,True,True,True
extended35,0165,Hamming Weight n=20,54,781,18,54,109,109,,109,C0,True,True,True
extended35,0166,Unary Iteration n=3,20,86,7,14,29,31,,31,U,False,True,True
extended35,0167,Unary Iteration n=4,38,215,15,27,55,63,,63,U,False,True,True
extended35,0168,Unary Iteration n=5,72,404,31,52,105,127,,127,U,False,True,True
