0800: d=52; phase [105, 117]
0801: d=6; phase [13, 13]
0802: d=11; phase [23, 23]
0803: d=16; phase [33, 33]
0804: d=41; phase [83, 83]
0805: d=19; phase [39, 39]
0806: d=35; phase [71, 71]
0807: d=71; phase [143, 143]
0808: d=35; phase [71, 73]
0809: d=64; phase [129, 137]
0810: d=287; phase [575, 643]
0811: d=24; phase [49, 51]
0812: d=3; phase [7, 7]
0813: d=286; phase [573, 573]
0814: d=8; phase [17, 17]
0815: d=24; phase [49, 51]
0816: d=50; phase [101, 107]
0117: d=29; phase [59, 59]
0818: d=72; phase [145, 153]
0819: d=18; phase [37, 37]
0820: d=6; phase [13, 13]
0821: d=9; phase [19, 19]
0822: d=12; phase [25, 25]
0823: d=27; phase [55, 55]
0824: d=9; phase [19, 19]
0134: d=6; phase [13, 13]
0135: d=9; phase [19, 19]
0136: d=12; phase [25, 25]
0137: d=15; phase [31, 31]
0138: d=18; phase [37, 37]
0139: d=21; phase [43, 43]
0140: d=24; phase [49, 49]
0141: d=27; phase [55, 55]
0142: d=20; phase [41, 41]
0143: d=30; phase [61, 61]
0144: d=40; phase [81, 81]
0145: d=30; phase [61, 61]
0146: d=45; phase [91, 91]
0147: d=40; phase [81, 85]
0148: d=50; phase [101, 105]
0149: d=9; phase [19, 19]
0150: d=9; phase [19, 19]
0151: d=12; phase [25, 25]
0152: d=12; phase [25, 25]
0153: d=21; phase [43, 43]
0154: d=21; phase [43, 43]
0155: d=24; phase [49, 49]
0156: d=24; phase [49, 49]
0157: d=30; phase [61, 61]
0158: d=30; phase [61, 61]
0159: d=33; phase [67, 67]
0160: d=33; phase [67, 67]
0161: d=45; phase [91, 91]
0162: d=45; phase [91, 91]
0163: d=48; phase [97, 97]
0164: d=48; phase [97, 97]
0165: d=54; phase [109, 109]
0166: d=14; phase [29, 31]
0167: d=27; phase [55, 63]
0168: d=52; phase [105, 127]
PASS: 60 custom API certificates cross-checked with the original verifier.
